family,domain,system,mean,sd,median,iqr,bootstrap_ci95_low,bootstrap_ci95_high,n,aggregate_metric,w_faithfulness,w_code_consistency,w_proof_utility,w_vacuity,w_contradiction,w_missing_critical,reliability_definition
arrays_binary_search,arrays,code_only_v1,0.7740,0.0000,0.7740,0.0000,0.7740,0.7740,7,reliability_mean,0.34,0.33,0.33,0.15,0.1,0.1,"wf*faithfulness + wc*code_consistency + wp*proof_utility - wv*vacuity_rate - wx*I(contradiction) - wm*min(1,missing/6)"
arrays_binary_search,arrays,full_method_v1,0.5194,0.1929,0.3647,0.3609,0.4163,0.6741,7,reliability_mean,0.34,0.33,0.33,0.15,0.1,0.1,"wf*faithfulness + wc*code_consistency + wp*proof_utility - wv*vacuity_rate - wx*I(contradiction) - wm*min(1,missing/6)"
arrays_binary_search,arrays,naive_concat_v1,0.7320,0.0392,0.7006,0.0733,0.7111,0.7530,7,reliability_mean,0.34,0.33,0.33,0.15,0.1,0.1,"wf*faithfulness + wc*code_consistency + wp*proof_utility - wv*vacuity_rate - wx*I(contradiction) - wm*min(1,missing/6)"
arrays_binary_search,arrays,text_only_v1,0.6758,0.0000,0.6758,0.0000,0.6758,0.6758,7,reliability_mean,0.34,0.33,0.33,0.15,0.1,0.1,"wf*faithfulness + wc*code_consistency + wp*proof_utility - wv*vacuity_rate - wx*I(contradiction) - wm*min(1,missing/6)"
arrays_max_subarray,arrays,code_only_v1,0.7740,0.0000,0.7740,0.0000,0.7740,0.7740,7,reliability_mean,0.34,0.33,0.33,0.15,0.1,0.1,"wf*faithfulness + wc*code_consistency + wp*proof_utility - wv*vacuity_rate - wx*I(contradiction) - wm*min(1,missing/6)"
arrays_max_subarray,arrays,full_method_v1,0.7353,0.0000,0.7353,0.0000,0.7353,0.7353,7,reliability_mean,0.34,0.33,0.33,0.15,0.1,0.1,"wf*faithfulness + wc*code_consistency + wp*proof_utility - wv*vacuity_rate - wx*I(contradiction) - wm*min(1,missing/6)"
arrays_max_subarray,arrays,naive_concat_v1,0.6014,0.0470,0.6391,0.0879,0.5638,0.6265,7,reliability_mean,0.34,0.33,0.33,0.15,0.1,0.1,"wf*faithfulness + wc*code_consistency + wp*proof_utility - wv*vacuity_rate - wx*I(contradiction) - wm*min(1,missing/6)"
arrays_max_subarray,arrays,text_only_v1,0.6494,0.0853,0.5811,0.1595,0.6039,0.7178,7,reliability_mean,0.34,0.33,0.33,0.15,0.1,0.1,"wf*faithfulness + wc*code_consistency + wp*proof_utility - wv*vacuity_rate - wx*I(contradiction) - wm*min(1,missing/6)"
dp_knapsack_01,dp,code_only_v1,0.8468,0.0000,0.8468,0.0000,0.8468,0.8468,7,reliability_mean,0.34,0.33,0.33,0.15,0.1,0.1,"wf*faithfulness + wc*code_consistency + wp*proof_utility - wv*vacuity_rate - wx*I(contradiction) - wm*min(1,missing/6)"
dp_knapsack_01,dp,full_method_v1,0.8468,0.0000,0.8468,0.0000,0.8468,0.8468,7,reliability_mean,0.34,0.33,0.33,0.15,0.1,0.1,"wf*faithfulness + wc*code_consistency + wp*proof_utility - wv*vacuity_rate - wx*I(contradiction) - wm*min(1,missing/6)"
dp_knapsack_01,dp,naive_concat_v1,0.8468,0.0000,0.8468,0.0000,0.8468,0.8468,7,reliability_mean,0.34,0.33,0.33,0.15,0.1,0.1,"wf*faithfulness + wc*code_consistency + wp*proof_utility - wv*vacuity_rate - wx*I(contradiction) - wm*min(1,missing/6)"
dp_knapsack_01,dp,text_only_v1,0.8468,0.0000,0.8468,0.0000,0.8468,0.8468,7,reliability_mean,0.34,0.33,0.33,0.15,0.1,0.1,"wf*faithfulness + wc*code_consistency + wp*proof_utility - wv*vacuity_rate - wx*I(contradiction) - wm*min(1,missing/6)"
dp_longest_common_subsequence,dp,code_only_v1,0.7187,0.0517,0.6773,0.0967,0.6911,0.7601,7,reliability_mean,0.34,0.33,0.33,0.15,0.1,0.1,"wf*faithfulness + wc*code_consistency + wp*proof_utility - wv*vacuity_rate - wx*I(contradiction) - wm*min(1,missing/6)"
dp_longest_common_subsequence,dp,full_method_v1,0.6987,0.0026,0.6966,0.0048,0.6973,0.7007,7,reliability_mean,0.34,0.33,0.33,0.15,0.1,0.1,"wf*faithfulness + wc*code_consistency + wp*proof_utility - wv*vacuity_rate - wx*I(contradiction) - wm*min(1,missing/6)"
dp_longest_common_subsequence,dp,naive_concat_v1,0.5851,0.0174,0.5990,0.0325,0.5712,0.5944,7,reliability_mean,0.34,0.33,0.33,0.15,0.1,0.1,"wf*faithfulness + wc*code_consistency + wp*proof_utility - wv*vacuity_rate - wx*I(contradiction) - wm*min(1,missing/6)"
