evidence_view,system,family,failure_mode,count,share_within_system,share_global,n_rows_for_system,critical_unit_opportunities,failure_events_per_row,missing_critical_units_per_critical_unit_opportunity
strict_independent,code_only_v1,global,low_semantic_faithfulness,0,0.000000,0.000000,47,172,0.000000,0.000000
strict_independent,code_only_v1,global,missing_critical_semantic_unit,0,0.000000,0.000000,47,172,0.000000,0.000000
strict_independent,code_only_v1,global,no_failures_recorded,0,0.000000,0.000000,47,172,0.000000,0.000000
strict_independent,full_method_v1,global,low_semantic_faithfulness,0,0.000000,0.000000,44,156,0.000000,0.000000
strict_independent,full_method_v1,global,missing_critical_semantic_unit,3,1.000000,0.027523,44,156,0.068182,0.019231
strict_independent,full_method_v1,global,no_failures_recorded,0,0.000000,0.000000,44,156,0.000000,0.000000
strict_independent,naive_concat_v1,global,low_semantic_faithfulness,4,0.093023,0.036697,63,216,0.063492,0.018519
strict_independent,naive_concat_v1,global,missing_critical_semantic_unit,39,0.906977,0.357798,63,216,0.619048,0.180556
strict_independent,naive_concat_v1,global,no_failures_recorded,0,0.000000,0.000000,63,216,0.000000,0.000000
strict_independent,text_only_v1,global,low_semantic_faithfulness,10,0.158730,0.091743,68,237,0.147059,0.042194
strict_independent,text_only_v1,global,missing_critical_semantic_unit,53,0.841270,0.486239,68,237,0.779412,0.223629
strict_independent,text_only_v1,global,no_failures_recorded,0,0.000000,0.000000,68,237,0.000000,0.000000
